Quarter,LogGDP,Employment,LogCPI,InterestRate,LogEnergyDemand
1973Q1,863.81124595058998,95.069999999999993,376.19742345908486,8.4900000000000002,984.64861399002575
1973Q2,864.89401428722078,95.069999999999993,378.26725746746683,10.779999999999999,985.42336760687647
1973Q3,864.36672394644609,95.200000000000003,380.22081394209397,9.9499999999999993,984.64815410823462
1973Q4,865.31147253758752,95.230000000000004,382.71903442217803,9.3499999999999996,984.10790721834667
1974Q1,864.44799015340072,94.870000000000005,385.65102954978869,11.93,980.81111240374059
1974Q2,864.68538524153371,94.799999999999997,388.29381108746122,11.34,982.96839978888477
1974Q3,863.73575672079619,94.370000000000005,391.06881148580442,8.5299999999999994,983.56671564668761
1974Q4,863.34686022883943,93.400000000000006,394.09349965907501,5.54,982.50383127014391
1975Q1,862.12208992802198,91.730000000000004,396.20828394160912,5.5499999999999998,980.57493343308147
1975Q2,862.83409287556674,91.129999999999995,397.40583963475984,6.2400000000000002,979.30775016290227
1975Q3,864.5312665994735,91.530000000000001,399.39107791507558,5.2000000000000002,979.13260983897123
1975Q4,865.86878925670112,91.700000000000003,401.21705571692115,4.8399999999999999,979.6106725756797
1976Q1,868.09263833988393,92.269999999999996,402.3564380161053,5.4800000000000004,982.66154017891324
1976Q2,868.82365544705249,92.430000000000007,403.24691585040131,5.25,983.74252486310536
1976Q3,869.37087593624869,92.269999999999996,404.83006237206939,4.6500000000000004,984.01216188491037
1976Q4,870.0931078074691,92.230000000000004,406.27386494121095,4.6900000000000004,989.6743075597534
1977Q1,871.26767478127181,92.5,408.09215418899606,5.3899999999999997,987.13363283156389
1977Q2,873.19312755606461,92.870000000000005,409.82253555264884,6.1399999999999997,987.09268663260059
1977Q3,874.98139319668019,93.099999999999994,411.19667094232994,6.5599999999999996,988.63221218979595
1977Q4,874.98358034597356,93.329999999999998,412.65971439827587,6.79,987.94105318926472
1978Q1,875.30224972155702,93.670000000000002,414.3663158175433,7.5999999999999996,989.88424291358149
1978Q2,879.09370770766384,94,416.61488114140326,8.4499999999999993,990.27870182192521
1978Q3,880.09420890669935,93.969999999999999,418.91500692459925,10.029999999999999,990.45193730262304
1978Q4,881.42940178156493,94.099999999999994,421.21275978784843,10.09,990.18527074047768
1979Q1,881.60902402643626,94.129999999999995,423.70008626236245,10.289999999999999,993.7759093523988
1979Q2,881.71589594160923,94.299999999999997,426.82978693455391,11.43,990.85065204190244
1979Q3,882.45602371844166,94.129999999999995,430.00027991952913,13.779999999999999,989.8369934337984
1979Q4,882.70578509295012,94.030000000000001,433.11714022179279,17.190000000000001,990.29758126195895
1980Q1,883.01980680898259,93.700000000000003,436.98692826401918,9.4700000000000006,989.54365585851122
1980Q2,880.93780610438318,92.670000000000002,440.3054001865957,10.869999999999999,986.70108047840449
1980Q3,880.8188867813559,92.329999999999998,442.16475081369612,18.899999999999999,986.11413913345734
1980Q4,882.6666354037327,92.599999999999994,444.92961887687068,14.699999999999999,988.34099705533731
1981Q1,884.6071236449759,92.569999999999993,447.65785725399763,19.100000000000001,985.0502977159897
1981Q2,883.86328601826244,92.599999999999994,449.72140824824606,15.869999999999999,985.17002034920938
1981Q3,885.05369680772037,92.599999999999994,452.4683296347016,12.369999999999999,985.67945505590092
1981Q4,883.95817165239771,91.769999999999996,454.0809782319995,14.68,985.15821461093788
1982Q1,882.39243720458433,91.170000000000002,454.96574760578324,14.15,983.81291054844894
1982Q2,882.84759634651436,90.569999999999993,456.4001256292787,10.31,981.41615158783782
1982Q3,882.46456847632237,90.099999999999994,458.12186237520683,8.9499999999999993,980.08867320808099
1982Q4,882.50450296429722,89.329999999999998,458.42866347040126,8.7699999999999996,979.34426355156438
1983Q1,883.81374912194485,89.629999999999995,458.49674786705725,8.9800000000000004,978.5685616826139
1983Q2,886.06384882169186,89.870000000000005,459.64654091104109,9.4499999999999993,981.17756263455897
1983Q3,888.04319860764042,90.629999999999995,460.61696863211745,9.4700000000000006,983.05481621708179
