GDP_growth,Inflation,Fed_rate
-2.6822046375714472,-0.051524831740083821,0.0083987034482932987
0.7811353644285528,0.1619600339584315,0.16304257329740918
3.0938443011184487,0.024300866706916724,0.20304796058229835
1.0427241256419659,0.20311485696523024,0.023814344182653713
0.57140319946256923,0.37755616242844825,0.27993703236232892
-0.62140545919842882,0.38910832574971632,-0.053167264510209922
-2.10202244365244,0.18495434408449318,-0.33044498340246786
0.43324785397527976,-0.049552603868666445,-0.2247780054758266
-1.3123737497088097,0.392036705614625,-0.33688259306785273
1.5253624361208429,-0.86515517480058923,-0.36921558529742526
0.57628922170736829,0.61607970096347708,-0.16523069780927813
-1.0159469522072542,-0.15992961124001193,-0.28613094902102176
1.5015082980308176,-0.48904717906243222,0.12749821551857243
-3.0978020931301171,-0.1078340547405372,-0.22580220112625393
-2.5539337274800822,-0.060523983307392504,-1.3283845041799249
1.4642386466112276,-0.022537407475272886,-0.035462331693007054
0.22738203226615417,0.24438066653097446,0.55385919463421551
2.5936113939869943,0.46115331868116316,0.48552720028238072
3.690712782028708,-1.0034516065454973,0.030955590681687628
1.3492180337664461,0.060558576507024009,0.57913238465019701
-1.9586972100021418,-0.3029336418388523,0.18629516040393757
-0.68644032120134835,0.11787119059709411,0.58541908132632836
1.100456456558117,0.077397466886581001,-0.16220026403583709
-2.6038493272152188,0.027233946624930061,0.20453865221316381
1.2769940441766268,-0.083902716250087161,-0.72222903464554733
-1.6450035647145351,-0.046564687758499868,0.031859539789281466
-1.154777262987293,-0.13777158238728324,-0.20475025789954943
2.398906802666759,0.1489432526939426,0.02701523710663678
0.56394592671494315,-0.13745072151789733,0.11544024499177163
2.9393835023791115,0.1287049753398451,0.80769821723595414
0.58727665113051852,0.13825277701172922,-0.27752785836556182
-0.21484756191996901,-0.148662497029033,0.40922492039501779
0.052917669808280277,-0.074316519618701782,-0.0018943612040411839
-0.94044861268557733,-0.13092147531584086,0.13289039264434277
0.07096035153234781,-0.055847919071355334,0.087581849043017357
0.5183449518223171,0.0027999803049073013,0.11941451890656252
1.0267049040897085,-0.1268065661002914,0.5014706923657346
0.20029597671979804,0.5533587828169656,0.0281180579031588
1.4926713023656735,-0.45391387913499059,0.056623758517117651
0.0034682800860847962,0.11462513852941258,0.14754084750221641
-0.028723366335948075,0.094849945611030551,-0.11070973288739561
0.32915663899116998,-0.4634049713167625,0.26493979049118943
0.57903974678569758,0.30519507223403264,0.38102213066296509
0.47908037685022142,-0.02148302462679319,-0.034015343297522538
1.0382876930072933,-0.081902541295458375,0.18166135959236396
2.1843139829032747,0.14889283951450083,0.094885342374892989
0.19377159374352892,-0.062972082821217246,0.42666010066814009
-0.17411413013221377,0.24641280739823035,0.11904707999770014
-0.33534363148469115,0.32507565736303023,0.38070086263955538
-0.61505908974454337,-0.21888215753479745,-0.26106942463554894
-0.76458752062401403,-0.28274563041599166,-0.7282663535023346
0.38536514564998803,-0.22256617833821313,-0.4384625298470497
0.19090065029515757,0.13938009289293196,0.27896995376063272
-0.067601585500237649,0.25754071432319048,0.1886725123882198
1.2862710285737631,0.60988335205718869,0.52147896985941644
1.4518378490114943,0.15613527397602933,0.67199313760501322
-0.37851218079128657,-0.31865061378696424,-0.84063113144675761
0.39137412904570335,0.3187259712177859,0.17142973270140605
