GDP_growth,EN_growth,Employment_change,Inflation,InterestRate
0.42639719223505701,0.49093494598059684,-0.020622471537458002,0.49752794911373965,-0.069332321049850876
-1.1466465041959994,-0.87919960533206765,0.11155970214946823,0.38125041535890003,-0.89933232104985095
0.67822778963939279,-0.45095119967882025,0.17878512879277009,0.92591442081582298,-1.4993323210498506
-0.98083501164206643,-3.132840323928082,-0.163500415804333,1.3596890683424274,1.0806676789501495
0.061261800229573948,1.9174372386253427,0.08406070482928224,1.0874679602732302,0.28720188482517589
-1.2572900468141346,0.74727009214074824,-0.3733276881715788,1.0541806289384499,-2.6013171526529377
-0.31054335189773807,-0.30071562591515377,-0.61196764787002611,1.5922744389310475,-3.6918208626055944
-1.0424683867900564,-1.076543902190725,-1.2065663076014932,0.98859506117844842,-2.1031401638191802
0.87335665294473153,-0.46821529437039389,-0.078655694257792397,0.12309222401865638,0.026788062486231112
1.4842647898637484,0.0022883118331004093,0.69429910240482751,1.0263564377019279,-0.06946825113521804
0.92169470038358514,0.30709140884443725,0.216635619342674,0.91402129957286737,0.10840958179120719
1.6900689055434357,2.7529870121226305,0.47902785092950934,0.27337590321927463,0.71875348150468366
-0.1733719760826235,0.71084616961437275,-0.16585304078267549,-0.064048470726431606,-0.2407868460013205
-0.1671600832942933,0.42650395715987116,-0.23171289122411376,0.62069452677498005,-0.5054039974752742
0.35784938621486373,6.253299714841404,0.14152150651176559,0.6528125453909932,0.30335516222461845
0.59008890871282516,-1.654215409457541,0.31163727063251651,1.0054893968144456,0.93312690885234773
1.2270319954701367,-0.12021983629643318,0.21016759379898825,0.76819670580571053,0.83208742635679211
0.87556572950216061,0.97233948309865315,-0.10323522057403345,0.27159529088934808,0.033623652637743362
-0.93651208120760254,-1.046414184692795,-0.035038134879670224,0.29897520893130597,-0.41032415718442028
-0.15470431675784796,1.7789230117794317,0.35080967268553498,0.58767893716816433,0.47896116843111436
3.173616559005374,0.36975685822106019,0.18828487875734859,1.0646962843399732,0.55525930889984343
0.25066430192413103,-0.10582559455884158,-0.22517734831385655,0.96765503353174398,1.8644445747939149
0.44747473216349198,-0.78255595115099474,-0.11255681565969794,0.8865250144229061,0.18748221622127015
-0.53991426893887418,3.027564709257708,-0.11458895729871617,0.82158954412302376,-0.6178783824355788
-0.35912296157409512,-2.4613544555428257,0.22215009256694596,1.5978560967868249,0.66667485076798805
0.32805060673697384,-1.0577861738541547,-0.16767940722807709,1.5605385873506563,2.1118981503435381
-0.34267415227033277,0.064160666416746337,-0.19514523880224055,1.2355553353431872,4.0300068559771223
-0.47019879193535802,-1.3298415558846521,-0.51340191357337872,1.7912916672027079,-5.5103087370631689
-2.5184156282660486,-2.9855599715786738,-0.96890745741728279,1.2536139366893408,-3.6478513603656482
-0.24274822696997311,-0.41560844619327653,-0.041216644678509939,0.055117797725500295,5.194675766150219
1.3011739696527855,1.9162527129041984,0.30942081415175726,0.73574670306309509,-0.33615084341013457
1.2938066923521165,-3.421679039099518,-0.11203158787652803,0.56260245839161227,4.5858367098098043
-1.6233038727574782,-0.55255593522406921,-0.18245761894325002,0.014342138940588778,-0.083903804139350058
0.6229190967307271,0.20904345456906573,0.016929442697639626,0.39596317488359423,-4.1913768412857859
-1.4267177923851515,-0.47240716287196782,-0.66528132566188081,-0.44179936190223357,-0.45460305292771963
-1.7955574815779745,-1.0798810486716799,-0.25587279333538854,-1.0654192698179528,-0.48377807832869602
0.22720703158364103,-2.2008074255002303,-0.23236615370725133,-0.54879368784261851,-3.3616286220526592
-0.46768847713161854,-1.1035335757200873,-0.029213688599769472,0.049072523500012177,-2.2558917055636605
