model,mean_loss,pvalue,in_set
EstimationSeriesSample1_82_qvarma_p1q1r2,0.12052291417564757,0.021499999999999998,0
EstimationSeriesSample1_83_qvarma_p1q1r2,0.13564452996651363,0,0
EstimationSeriesSample1_84_qvarma_p1q1r2,0.12886086602390798,0,0
EstimationSeriesSample1_85_qvarma_p1q1r2,0.12852577308187876,0,0
EstimationSeriesSample1_86_qvarma_p1q1r2,0.1307285524787927,0,0
EstimationSeriesSample1_87_qvarma_p1q1r2,0.12622286980469363,0,0
EstimationSeriesSample1_88_qvarma_p1q1r2,0.13388038070713237,0,0
EstimationSeriesSample1_89_qvarma_p1q1r2,0.12960353831410554,0,0
EstimationSeriesSample1_90_qvarma_p1q1r2,0.12860726293160973,0,0
EstimationSeriesSample1_91_qvarma_p1q1r2,0.11940153531415587,1,1
EstimationSeriesSample1_92_qvarma_p1q1r2,0.13418197510594138,0,0
EstimationSeriesSample1_93_qvarma_p1q1r2,0.12973414947445561,0,0
EstimationSeriesSample1_94_qvarma_p1q1r2,0.13203856081959772,0,0
EstimationSeriesSample1_95_qvarma_p1q1r2,0.12615189540871924,0,0
EstimationSeriesSample1_96_qvarma_p1q1r2,0.12386919612540817,0,0
EstimationSeriesSample1_97_qvarma_p1q1r2,0.1332534514269135,0,0
EstimationSeriesSample1_98_qvarma_p1q1r2,0.13308867542537689,0,0
EstimationSeriesSample1_99_qvarma_p1q1r2,0.13356176053463764,0,0
EstimationSeriesSample1_100_qvarma_p1q1r2,0.13640536633767544,0,0
EstimationSeriesSample1_1_qvarma_p1q1r4,0.1467665091229724,0,0
EstimationSeriesSample1_2_qvarma_p1q1r4,0.15504991672989285,0,0
EstimationSeriesSample1_3_qvarma_p1q1r4,0.16660160473762139,0,0
EstimationSeriesSample1_4_qvarma_p1q1r4,0.15291623627592343,0,0
EstimationSeriesSample1_5_qvarma_p1q1r4,0.16148575199311169,0,0
EstimationSeriesSample1_6_qvarma_p1q1r4,0.15485584430201613,0,0
EstimationSeriesSample1_7_qvarma_p1q1r4,0.15092311512536127,0,0
EstimationSeriesSample1_8_qvarma_p1q1r4,0.15802456793013026,0,0
EstimationSeriesSample1_9_qvarma_p1q1r4,0.15599929300523954,0,0
EstimationSeriesSample1_10_qvarma_p1q1r4,0.14234513222067827,0,0
EstimationSeriesSample1_11_qvarma_p1q1r4,0.17069065796255742,0,0
EstimationSeriesSample1_12_qvarma_p1q1r4,0.1639085729706044,0,0
EstimationSeriesSample1_13_qvarma_p1q1r4,0.16945335684052734,0,0
EstimationSeriesSample1_14_qvarma_p1q1r4,0.16230438146057666,0,0
EstimationSeriesSample1_15_qvarma_p1q1r4,0.14030462170978331,0,0
EstimationSeriesSample1_16_qvarma_p1q1r4,0.15259137279931245,0,0
EstimationSeriesSample1_17_qvarma_p1q1r4,0.15377293768946865,0,0
EstimationSeriesSample1_18_qvarma_p1q1r4,0.15421677535677655,0,0
EstimationSeriesSample1_19_qvarma_p1q1r4,0.15974279654502976,0,0
EstimationSeriesSample1_20_qvarma_p1q1r4,0.15433905705268447,0,0
EstimationSeriesSample1_21_qvarma_p1q1r4,0.15709896818261271,0,0
EstimationSeriesSample1_22_qvarma_p1q1r4,0.15615785161786086,0,0
EstimationSeriesSample1_23_qvarma_p1q1r4,0.16733906013151004,0,0
EstimationSeriesSample1_24_qvarma_p1q1r4,0.15489539258224336,0,0
EstimationSeriesSample1_25_qvarma_p1q1r4,0.15337081869766123,0,0
EstimationSeriesSample1_26_qvarma_p1q1r4,0.15732580944055485,0,0
EstimationSeriesSample1_27_qvarma_p1q1r4,0.16007057179730641,0,0
EstimationSeriesSample1_28_qvarma_p1q1r4,0.15978246751932221,0,0
EstimationSeriesSample1_29_qvarma_p1q1r4,0.16176839687220129,0,0
EstimationSeriesSample1_30_qvarma_p1q1r4,0.15678155473275762,0,0
EstimationSeriesSample1_31_qvarma_p1q1r4,0.16412738052830772,0,0
EstimationSeriesSample1_32_qvarma_p1q1r4,0.16490616068432296,0,0
EstimationSeriesSample1_33_qvarma_p1q1r4,0.15810780424722198,0,0
EstimationSeriesSample1_34_qvarma_p1q1r4,0.15628522098321565,0,0
EstimationSeriesSample1_35_qvarma_p1q1r4,0.16548358163109195,0,0
EstimationSeriesSample1_36_qvarma_p1q1r4,0.15917508241036449,0,0
EstimationSeriesSample1_37_qvarma_p1q1r4,0.14466994124705848,0,0
EstimationSeriesSample1_38_qvarma_p1q1r4,0.1560833960046947,0,0
EstimationSeriesSample1_39_qvarma_p1q1r4,0.15947847277756175,0,0
EstimationSeriesSample1_40_qvarma_p1q1r4,0.15984636506868574,0,0
EstimationSeriesSample1_41_qvarma_p1q1r4,0.15114521252990093,0,0
EstimationSeriesSample1_42_qvarma_p1q1r4,0.15202379105601552,0,0
EstimationSeriesSample1_43_qvarma_p1q1r4,0.14130106891485553,0,0
EstimationSeriesSample1_44_qvarma_p1q1r4,0.15915232749502436,0,0
EstimationSeriesSample1_45_qvarma_p1q1r4,0.1566507110984347,0,0
EstimationSeriesSample1_46_qvarma_p1q1r4,0.15531205948805479,0,0
EstimationSeriesSample1_47_qvarma_p1q1r4,0.15821114194825103,0,0
EstimationSeriesSample1_48_qvarma_p1q1r4,0.15386646786891078,0,0
EstimationSeriesSample1_49_qvarma_p1q1r4,0.15297238813862177,0,0
EstimationSeriesSample1_50_qvarma_p1q1r4,0.15169128557531575,0,0
EstimationSeriesSample1_51_qvarma_p1q1r4,0.15822014131565054,0,0
EstimationSeriesSample1_52_qvarma_p1q1r4,0.15840240109072334,0,0
EstimationSeriesSample1_53_qvarma_p1q1r4,0.1531735603135331,0,0
EstimationSeriesSample1_54_qvarma_p1q1r4,0.16147169431413497,0,0
EstimationSeriesSample1_55_qvarma_p1q1r4,0.15472377648897326,0,0
EstimationSeriesSample1_56_qvarma_p1q1r4,0.16173585878106442,0,0
EstimationSeriesSample1_57_qvarma_p1q1r4,0.15153187818296332,0,0
EstimationSeriesSample1_58_qvarma_p1q1r4,0.16335769187763877,0,0
EstimationSeriesSample1_59_qvarma_p1q1r4,0.15592942815632788,0,0
EstimationSeriesSample1_60_qvarma_p1q1r4,0.15571911334677857,0,0
EstimationSeriesSample1_61_qvarma_p1q1r4,0.15548837213127495,0,0
EstimationSeriesSample1_62_qvarma_p1q1r4,0.15502729137753682,0,0
EstimationSeriesSample1_63_qvarma_p1q1r4,0.15509038944295186,0,0
EstimationSeriesSample1_64_qvarma_p1q1r4,0.15857170683720889,0,0
EstimationSeriesSample1_65_qvarma_p1q1r4,0.16887438561148288,0,0
EstimationSeriesSample1_66_qvarma_p1q1r4,0.16408043921150395,0,0
EstimationSeriesSample1_67_qvarma_p1q1r4,0.15279274144688598,0,0
EstimationSeriesSample1_68_qvarma_p1q1r4,0.14940254874228176,0,0
EstimationSeriesSample1_69_qvarma_p1q1r4,0.16453218388751403,0,0
EstimationSeriesSample1_70_qvarma_p1q1r4,0.16012980488937228,0,0
EstimationSeriesSample1_71_qvarma_p1q1r4,0.15527316649663533,0,0
EstimationSeriesSample1_72_qvarma_p1q1r4,0.16255332836861147,0,0
EstimationSeriesSample1_73_qvarma_p1q1r4,0.157096443874085,0,0
