component,horizon,shock,response,shock_name,response_name,unrotated,lower,median,upper
contemporaneous,3,1,1,Supply shock,GDP growth,0,0,0,0
contemporaneous,3,1,2,Supply shock,Energy demand growth,0,0,0,0
contemporaneous,3,1,3,Supply shock,Employment change,0,0,0,0
contemporaneous,3,1,4,Supply shock,Inflation,0,0,0,0
contemporaneous,3,1,5,Supply shock,Interest rate,0,0,0,0
contemporaneous,3,2,1,Demand shock,GDP growth,0,0,0,0
contemporaneous,3,2,2,Demand shock,Energy demand growth,0,0,0,0
contemporaneous,3,2,3,Demand shock,Employment change,0,0,0,0
contemporaneous,3,2,4,Demand shock,Inflation,0,0,0,0
contemporaneous,3,2,5,Demand shock,Interest rate,0,0,0,0
contemporaneous,3,3,1,Monetary policy shock,GDP growth,0,0,0,0
contemporaneous,3,3,2,Monetary policy shock,Energy demand growth,0,0,0,0
contemporaneous,3,3,3,Monetary policy shock,Employment change,0,0,0,0
contemporaneous,3,3,4,Monetary policy shock,Inflation,0,0,0,0
contemporaneous,3,3,5,Monetary policy shock,Interest rate,0,0,0,0
contemporaneous,3,4,1,Unrestricted shock 4,GDP growth,0,0,0,0
contemporaneous,3,4,2,Unrestricted shock 4,Energy demand growth,0,0,0,0
contemporaneous,3,4,3,Unrestricted shock 4,Employment change,0,0,0,0
contemporaneous,3,4,4,Unrestricted shock 4,Inflation,0,0,0,0
contemporaneous,3,4,5,Unrestricted shock 4,Interest rate,0,0,0,0
contemporaneous,3,5,1,Unrestricted shock 5,GDP growth,0,0,0,0
contemporaneous,3,5,2,Unrestricted shock 5,Energy demand growth,0,0,0,0
contemporaneous,3,5,3,Unrestricted shock 5,Employment change,0,0,0,0
contemporaneous,3,5,4,Unrestricted shock 5,Inflation,0,0,0,0
contemporaneous,3,5,5,Unrestricted shock 5,Interest rate,0,0,0,0
contemporaneous,4,1,1,Supply shock,GDP growth,0,0,0,0
contemporaneous,4,1,2,Supply shock,Energy demand growth,0,0,0,0
contemporaneous,4,1,3,Supply shock,Employment change,0,0,0,0
contemporaneous,4,1,4,Supply shock,Inflation,0,0,0,0
contemporaneous,4,1,5,Supply shock,Interest rate,0,0,0,0
contemporaneous,4,2,1,Demand shock,GDP growth,0,0,0,0
contemporaneous,4,2,2,Demand shock,Energy demand growth,0,0,0,0
contemporaneous,4,2,3,Demand shock,Employment change,0,0,0,0
contemporaneous,4,2,4,Demand shock,Inflation,0,0,0,0
contemporaneous,4,2,5,Demand shock,Interest rate,0,0,0,0
contemporaneous,4,3,1,Monetary policy shock,GDP growth,0,0,0,0
contemporaneous,4,3,2,Monetary policy shock,Energy demand growth,0,0,0,0
