benchmark_replicate,benchmark_in_set,benchmark_rank,benchmark_pvalue,set_size,decided_by_accepted_test,final_pvalue,n_dropped_replicates
136,0,430,0.000000,5,yes,0.051600,0
137,0,483,0.000000,433,yes,0.068800,0
138,1,523,1.000000,1000,yes,0.064300,0
139,0,11,0.039300,12,yes,0.079400,0
140,0,48,0.000000,2,yes,0.149800,0
141,1,983,0.831500,56,yes,0.058900,0
142,0,53,0.000000,1,no,0.000200,0
143,0,138,0.000000,8,yes,0.354500,0
144,1,790,1.000000,579,yes,0.055600,0
145,1,995,0.826800,45,yes,0.052000,0
146,0,995,0.000000,2,yes,0.742300,0
147,1,586,1.000000,715,yes,0.072200,0
148,1,995,0.973000,134,yes,0.053300,0
149,1,936,0.977300,121,yes,0.053600,0
150,0,971,0.000000,2,yes,0.109200,0
151,0,1000,0.029500,2,yes,0.175800,0
152,1,987,0.973900,293,yes,0.051000,0
153,0,135,0.000000,1,no,0.000000,0
154,1,972,1.000000,435,yes,0.055200,0
155,1,805,0.241400,153,yes,0.051900,0
156,0,562,0.000000,490,yes,0.052800,0
157,0,49,0.000000,1,no,0.004100,0
158,0,11,0.000400,1,no,0.011300,0
159,1,957,0.737000,184,yes,0.050100,0
160,0,18,0.014600,3,yes,0.188600,0
161,1,1,1.000000,1,no,0.009400,0
162,0,13,0.000400,1,no,0.020200,0
163,1,967,1.000000,478,yes,0.050300,0
164,1,920,0.690400,168,yes,0.054400,0
165,1,894,1.000000,713,yes,0.051700,0
166,1,907,1.000000,535,yes,0.050700,0
167,0,24,0.046200,25,yes,0.086100,0
168,0,33,0.000000,2,yes,0.221200,0
169,0,929,0.000000,8,yes,0.075000,0
170,0,910,0.000000,1,no,0.000000,0
171,1,457,1.000000,993,yes,0.059100,0
172,1,997,0.138300,17,yes,0.052900,0
173,1,1,1.000000,3,yes,0.054200,0
174,1,1,1.000000,5,yes,0.092400,0
175,0,187,0.000300,2,yes,0.960300,0
176,0,67,0.000000,8,yes,0.054700,0
177,1,1,1.000000,1,no,0.030900,0
178,0,47,0.000400,10,yes,0.055700,0
179,0,884,0.000000,53,yes,0.059400,0
180,1,2,0.694500,3,yes,0.209300,0
181,1,880,0.491100,533,yes,0.051700,0
182,0,530,0.000000,2,yes,0.978200,0
183,0,76,0.000000,5,yes,0.177200,0
184,0,279,0.000000,1,no,0.000000,0
185,1,114,1.000000,1000,yes,0.992700,0
186,1,313,1.000000,999,yes,0.256600,0
187,1,2,0.882600,5,yes,0.098900,0
188,0,987,0.000000,2,yes,0.837700,0
189,0,47,0.000000,2,yes,0.068000,0
190,1,997,0.942400,107,yes,0.050600,0
191,1,465,1.000000,753,yes,0.055300,0
192,1,999,0.443900,18,yes,0.054800,0
193,0,59,0.000000,3,yes,0.097200,0
194,0,907,0.000000,45,yes,0.062900,0
195,1,702,0.812400,535,yes,0.058000,0
196,1,1000,0.984800,145,yes,0.051000,0
197,1,910,0.990400,271,yes,0.059000,0
198,1,630,1.000000,952,yes,0.051900,0
199,1,442,1.000000,880,yes,0.050000,0
200,1,834,1.000000,901,yes,0.050200,0
201,0,2,0.000000,1,no,0.000000,0
202,1,988,0.905400,100,yes,0.050900,0
203,1,5,0.830000,13,yes,0.163200,0
204,1,889,0.076700,164,yes,0.050100,0
205,0,958,0.000000,3,yes,0.093100,0
206,0,40,0.000000,4,yes,0.265100,0
207,1,930,0.052800,116,yes,0.050100,0
208,0,24,0.000000,3,yes,0.101700,0
209,0,141,0.000000,1,no,0.021500,0
210,1,1,1.000000,6,yes,0.101700,0
211,1,994,0.738100,65,yes,0.081700,0
212,1,992,1.000000,579,yes,0.051700,0
213,0,193,0.000000,10,yes,0.059100,0
