benchmark_replicate,benchmark_in_set,benchmark_rank,benchmark_pvalue,set_size,decided_by_accepted_test,final_pvalue,n_dropped_replicates
141,1,1,1.000000,1,no,0.000000,0
142,1,1,1.000000,1,no,0.000000,0
143,1,1,1.000000,1,no,0.000000,0
144,1,1,1.000000,1,no,0.000000,0
145,1,1,1.000000,2,yes,0.069800,0
146,1,1,1.000000,1,no,0.019000,0
147,1,1,1.000000,1,no,0.000000,0
148,1,1,1.000000,1,no,0.000000,0
149,1,1,1.000000,1,no,0.000000,0
150,0,6,0.000000,1,no,0.010100,0
151,1,1,1.000000,1,no,0.000000,0
152,1,1,1.000000,1,no,0.000100,0
153,1,1,1.000000,1,no,0.000000,0
154,1,1,1.000000,1,no,0.000000,0
155,0,2,0.000000,1,no,0.000000,0
156,1,2,0.837400,2,yes,0.837400,0
157,1,1,1.000000,1,no,0.000000,0
158,1,1,1.000000,1,no,0.000000,0
159,1,1,1.000000,1,no,0.000000,0
160,1,1,1.000000,1,no,0.012700,0
161,1,1,1.000000,1,no,0.000000,0
162,1,1,1.000000,1,no,0.000000,0
163,1,1,1.000000,1,no,0.000000,0
164,1,2,0.398800,2,yes,0.398800,0
165,1,1,1.000000,1,no,0.000000,0
166,1,1,1.000000,1,no,0.000000,0
167,1,1,1.000000,1,no,0.000000,0
168,1,1,1.000000,1,no,0.000000,0
169,1,1,1.000000,2,yes,0.603200,0
170,0,2,0.000000,1,no,0.000000,0
171,1,1,1.000000,1,no,0.000000,0
172,1,1,1.000000,1,no,0.000000,0
173,1,1,1.000000,1,no,0.000000,0
174,1,1,1.000000,1,no,0.000000,0
175,1,1,1.000000,1,no,0.001000,0
176,1,1,1.000000,1,no,0.000000,0
177,1,1,1.000000,1,no,0.000000,0
178,1,1,1.000000,1,no,0.000000,0
179,1,1,1.000000,1,no,0.000000,0
180,1,1,1.000000,1,no,0.000000,0
181,1,1,1.000000,1,no,0.000000,0
182,1,1,1.000000,1,no,0.000000,0
183,1,1,1.000000,2,yes,0.926900,0
184,1,1,1.000000,1,no,0.000000,0
185,1,1,1.000000,1,no,0.000000,0
186,0,3,0.000000,2,yes,0.313700,0
187,1,1,1.000000,1,no,0.000000,0
188,1,1,1.000000,1,no,0.000000,0
189,1,1,1.000000,1,no,0.000000,0
190,0,2,0.006300,1,no,0.006300,0
191,1,1,1.000000,1,no,0.000000,0
192,1,1,1.000000,1,no,0.000000,0
193,0,3,0.044400,2,yes,0.177800,0
194,0,6,0.000000,1,no,0.000900,0
195,1,1,1.000000,1,no,0.000000,0
196,1,1,1.000000,1,no,0.000000,0
197,1,1,1.000000,1,no,0.000000,0
198,1,1,1.000000,1,no,0.000000,0
199,1,1,1.000000,1,no,0.000000,0
200,1,1,1.000000,1,no,0.000000,0
201,1,1,1.000000,1,no,0.000000,0
202,1,1,1.000000,1,no,0.000000,0
203,1,1,1.000000,1,no,0.000000,0
204,1,1,1.000000,1,no,0.000000,0
205,1,1,1.000000,1,no,0.000000,0
206,1,1,1.000000,2,yes,0.188400,0
207,1,1,1.000000,2,yes,0.744900,0
208,1,1,1.000000,1,no,0.000000,0
209,0,4,0.000000,1,no,0.003800,0
210,0,9,0.000000,1,no,0.000200,0
211,0,3,0.000000,1,no,0.000000,0
212,1,1,1.000000,1,no,0.000000,0
213,1,1,1.000000,1,no,0.000000,0
214,1,1,1.000000,1,no,0.000000,0
215,1,1,1.000000,1,no,0.000200,0
216,1,1,1.000000,1,no,0.000000,0
217,1,1,1.000000,1,no,0.000000,0
218,1,2,0.075900,2,yes,0.075900,0
219,1,2,0.106700,2,yes,0.106700,0
220,1,1,1.000000,1,no,0.000000,0
221,1,2,0.915000,2,yes,0.915000,0
222,1,1,1.000000,1,no,0.000100,0
223,1,1,1.000000,1,no,0.000000,0
224,1,1,1.000000,1,no,0.011400,0
225,1,1,1.000000,1,no,0.000100,0
226,1,1,1.000000,1,no,0.000000,0
227,1,1,1.000000,1,no,0.000000,0
228,1,1,1.000000,1,no,0.000000,0
229,1,1,1.000000,1,no,0.000100,0
230,1,1,1.000000,1,no,0.000000,0
231,1,1,1.000000,1,no,0.000000,0
232,1,1,1.000000,1,no,0.000000,0
233,0,2,0.001700,1,no,0.001700,0
234,1,1,1.000000,1,no,0.000000,0
235,1,1,1.000000,1,no,0.000000,0
236,1,1,1.000000,1,no,0.000000,0
237,1,1,1.000000,1,no,0.000000,0
238,1,1,1.000000,1,no,0.015400,0
239,1,1,1.000000,1,no,0.000000,0
240,1,1,1.000000,1,no,0.000000,0
241,1,1,1.000000,1,no,0.000000,0
242,1,1,1.000000,1,no,0.000000,0
243,1,1,1.000000,1,no,0.000000,0
244,0,4,0.000000,1,no,0.021800,0
245,1,2,0.215200,2,yes,0.215200,0
246,1,1,1.000000,1,no,0.000000,0
247,1,1,1.000000,1,no,0.000000,0
248,1,1,1.000000,1,no,0.000000,0
249,1,1,1.000000,1,no,0.000000,0
250,1,1,1.000000,1,no,0.000000,0
251,0,6,0.000000,2,yes,0.195100,0
252,1,1,1.000000,1,no,0.000000,0
253,1,1,1.000000,1,no,0.000000,0
254,1,2,0.153900,2,yes,0.153900,0
255,1,1,1.000000,1,no,0.000000,0
256,1,1,1.000000,1,no,0.004600,0
257,1,1,1.000000,1,no,0.000000,0
258,1,1,1.000000,1,no,0.000000,0
259,1,1,1.000000,1,no,0.000000,0
260,1,1,1.000000,1,no,0.000000,0
261,1,1,1.000000,1,no,0.000000,0
262,1,1,1.000000,1,no,0.000000,0
263,1,1,1.000000,1,no,0.000000,0
264,0,4,0.000000,1,no,0.002200,0
265,1,1,1.000000,1,no,0.000000,0
266,1,1,1.000000,1,no,0.000000,0
267,1,1,1.000000,1,no,0.000000,0
