benchmark_replicate,benchmark_in_set,benchmark_rank,benchmark_pvalue,set_size,decided_by_accepted_test,final_pvalue,n_dropped_replicates
304,-1,-1,nan,-1,skipped,nan,-1
305,0,281,0.000000,1,no,0.048000,0
306,0,44,0.000000,2,yes,0.210200,0
307,0,105,0.000200,33,yes,0.057000,0
308,0,76,0.000000,14,yes,0.050900,0
309,-1,-1,nan,-1,skipped,nan,-1
310,-1,-1,nan,-1,skipped,nan,-1
311,-1,-1,nan,-1,skipped,nan,-1
312,-1,-1,nan,-1,skipped,nan,-1
313,-1,-1,nan,-1,skipped,nan,-1
314,-1,-1,nan,-1,skipped,nan,-1
315,0,50,0.000000,12,yes,0.070200,0
316,0,98,0.000000,27,yes,0.052500,0
317,-1,-1,nan,-1,skipped,nan,-1
318,-1,-1,nan,-1,skipped,nan,-1
319,-1,-1,nan,-1,skipped,nan,-1
320,-1,-1,nan,-1,skipped,nan,-1
321,0,33,0.000000,19,yes,0.055300,0
322,-1,-1,nan,-1,skipped,nan,-1
323,-1,-1,nan,-1,skipped,nan,-1
324,-1,-1,nan,-1,skipped,nan,-1
325,-1,-1,nan,-1,skipped,nan,-1
326,-1,-1,nan,-1,skipped,nan,-1
327,-1,-1,nan,-1,skipped,nan,-1
328,-1,-1,nan,-1,skipped,nan,-1
329,-1,-1,nan,-1,skipped,nan,-1
330,0,24,0.000400,8,yes,0.143600,0
331,-1,-1,nan,-1,skipped,nan,-1
332,0,28,0.000000,1,no,0.045100,0
333,0,22,0.000300,17,yes,0.085600,0
334,-1,-1,nan,-1,skipped,nan,-1
335,0,551,0.000000,5,yes,0.076600,0
336,-1,-1,nan,-1,skipped,nan,-1
337,-1,-1,nan,-1,skipped,nan,-1
338,0,345,0.043300,100,yes,0.053900,0
339,0,670,0.000000,53,yes,0.055800,0
340,-1,-1,nan,-1,skipped,nan,-1
341,-1,-1,nan,-1,skipped,nan,-1
342,-1,-1,nan,-1,skipped,nan,-1
343,-1,-1,nan,-1,skipped,nan,-1
344,-1,-1,nan,-1,skipped,nan,-1
345,0,427,0.001700,114,yes,0.051200,0
346,-1,-1,nan,-1,skipped,nan,-1
347,-1,-1,nan,-1,skipped,nan,-1
348,-1,-1,nan,-1,skipped,nan,-1
349,-1,-1,nan,-1,skipped,nan,-1
350,0,136,0.000000,40,yes,0.050600,0
351,1,192,0.135200,92,yes,0.053800,0
352,-1,-1,nan,-1,skipped,nan,-1
353,-1,-1,nan,-1,skipped,nan,-1
354,0,126,0.000000,9,yes,0.055800,0
355,-1,-1,nan,-1,skipped,nan,-1
356,-1,-1,nan,-1,skipped,nan,-1
357,-1,-1,nan,-1,skipped,nan,-1
358,0,144,0.000000,19,yes,0.069700,0
359,-1,-1,nan,-1,skipped,nan,-1
360,-1,-1,nan,-1,skipped,nan,-1
361,0,67,0.000000,9,yes,0.117800,0
362,0,220,0.000000,1,no,0.000100,0
363,-1,-1,nan,-1,skipped,nan,-1
364,-1,-1,nan,-1,skipped,nan,-1
365,-1,-1,nan,-1,skipped,nan,-1
366,0,338,0.000000,9,yes,0.230700,0
367,-1,-1,nan,-1,skipped,nan,-1
368,0,120,0.000000,10,yes,0.052400,0
369,-1,-1,nan,-1,skipped,nan,-1
370,-1,-1,nan,-1,skipped,nan,-1
371,0,672,0.000000,2,yes,0.102100,0
372,-1,-1,nan,-1,skipped,nan,-1
373,-1,-1,nan,-1,skipped,nan,-1
374,-1,-1,nan,-1,skipped,nan,-1
375,0,472,0.000600,1,no,0.011400,0
376,0,187,0.000000,9,yes,0.051200,0
377,-1,-1,nan,-1,skipped,nan,-1
378,-1,-1,nan,-1,skipped,nan,-1
379,-1,-1,nan,-1,skipped,nan,-1
380,-1,-1,nan,-1,skipped,nan,-1
381,0,19,0.010600,17,yes,0.066300,0
382,-1,-1,nan,-1,skipped,nan,-1
383,-1,-1,nan,-1,skipped,nan,-1
384,0,157,0.000100,258,yes,0.050600,0
385,-1,-1,nan,-1,skipped,nan,-1
386,-1,-1,nan,-1,skipped,nan,-1
387,-1,-1,nan,-1,skipped,nan,-1
388,-1,-1,nan,-1,skipped,nan,-1
